seqN,TreeNo,DeathAge,x,y,z,Year,Age,H,HB,GB,G0.1H,G0,G0.3,G1.3,G2.3,G3.3,G4.3,G5.3,G6.3,G7.3,G8.3,G9.3,G10.3,G11.3,G12.3,G13.3,G14.3,G15.3,G16.3,Vs
1722,116,100,5.5,4.149589002,3.6,1988,32,10.72,6.32,19.1,28.2,52.5,31,28.3,27.4,25.7,24,21.9,19.4,16.6,10.8,7,1.3,0,0,0,0,0,0,40.78
1723,117,100,4.5,3.701658953,3.3,1988,32,11.67,6.05,25.9,35.6,58.3,45,35.2,32.8,31.1,29.7,27.3,24.4,21.3,17,11.9,6.2,1.6,0,0,0,0,0,65.69
1724,118,100,3.17,3.817576091,4,1988,32,9.03,4.43,20.7,33.3,50.5,37.2,30.4,25.6,23.7,20.8,16.3,13.5,8.2,2.5,0,0,0,0,0,0,0,0,34.82
1725,119,33,2.5,3.077334928,3.9,1988,32,5.86,3.21,14,21.4,41.5,23.3,20.3,17.5,11.6,6.1,1.9,0,0,0,0,0,0,0,0,0,0,0,11.97
1726,120,36,1.17,2.658166274,4.33,1988,32,5.5,2.88,8,13.1,21.1,17.3,11.7,9.4,6.9,4.5,0.9,0,0,0,0,0,0,0,0,0,0,0,4.42
1727,121,40,0.5,2.988096695,4.9,1988,32,6.4,4.13,11.2,19.4,29.2,21.7,17.9,16.1,13.3,9.5,3.5,0.6,0,0,0,0,0,0,0,0,0,0,10.29
1728,122,100,0.83,1.36206428,3.4,1988,32,9.93,4.39,32,46.2,65.8,53.2,44.7,42.5,36.8,31.8,26.7,21,15.1,8.5,2.8,0,0,0,0,0,0,0,80.52
1729,123,100,2.5,1.743613627,2.67,1988,32,8.81,3.99,25.4,32,63.2,35.7,31.9,29.8,26.8,24.3,19.6,14.3,7.5,1.9,0,0,0,0,0,0,0,0,42.09
1730,124,36,4.17,1.86959961,1.8,1988,32,7.5,3.86,15.6,25,41.5,29.6,22.9,20.5,17.3,14.3,11.7,7.2,0.9,0,0,0,0,0,0,0,0,0,19.62
1731,125,100,5.17,2.844629095,2.5,1988,32,10.07,5.35,18.3,26.2,45,28.6,25.9,24.1,22.1,20.3,18.3,15.7,11.9,8.2,3,0,0,0,0,0,0,0,30.12
1732,126,100,5.5,1.753682472,1.75,1988,32,13.3,5.94,37.3,43,69.3,50,43,42.7,40.7,39.4,37.5,35,32.9,28.8,22.8,18.1,11.9,4.5,0,0,0,0,117.61
1733,127,28,6.5,2.992261676,2.75,1988,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1734,128,100,6.5,2.193626166,2.2,1988,32,12.48,6.43,24,32.8,46,35.5,33,31.4,29.6,27.8,26,23.6,21.1,17.9,14.2,10.9,4.7,0.5,0,0,0,0,57.31
1735,129,24,8.83,3.060724868,2.8,1988,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1736,130,100,7.83,1.550609591,1.7,1988,32,13.17,5.25,40.3,48.5,70.4,55.4,48.5,46.9,44.9,42.4,40.2,36.4,34.6,30,24,18.1,12.6,6.1,0,0,0,0,137.14
1737,131,36,9.83,3.237118844,2.8,1988,32,9.87,6.63,14.6,28,42.4,32.8,27.1,25,21.2,19,16.8,14.8,11.9,6.8,1.9,0,0,0,0,0,0,0,30.48
1738,132,100,11.5,3.091568754,2.6,1988,32,12.18,7.96,20.4,32,64.5,37.8,31.6,30.5,29.4,27,25.6,23.5,22.5,19.3,14.3,9.1,3.5,0,0,0,0,0,59.35
1739,133,100,11.5,2.029383525,1.95,1988,32,11.43,6.59,21.2,31.6,70.2,38,31.3,29.5,28.2,26.5,24.4,21.7,18.5,15.3,10.5,4,0.6,0,0,0,0,0,54.07
1740,134,25,10.5,1.581453476,1.55,1988,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1741,135,100,9.17,0.363649312,0.75,1988,32,12.07,7.98,20.5,30.7,46.1,33.7,30.4,29.4,28.3,27.3,25.7,23.6,21.4,19.3,15.5,11.2,4.4,0,0,0,0,0,54.27
1742,136,100,10.17,0.548029643,0.75,1988,32,11.2,7.35,17.7,31.6,40.3,34,30.7,29.4,27.6,25.3,23,21,17.7,13.7,10.1,4,0,0,0,0,0,0,46.07
1743,137,25,11.5,0.695662223,0.8,1988,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1744,138,35,11.17,-0.074211891,0.2,1988,32,8.59,6.42,11.3,21.5,28.5,22.2,20.7,19.1,17.7,15.7,13,10.9,6,1.3,0,0,0,0,0,0,0,0,16.87
1745,139,21,9.17,1.162284822,1.25,1988,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1746,140,36,7.83,0.751974081,1.1,1988,32,10.25,6.96,14.3,23.1,34.1,25.2,22.5,21.4,20.5,19.4,17.2,15.2,11.7,7.2,2.8,0,0,0,0,0,0,0,24.43
1747,141,28,6.83,0.839129824,1.1,1988,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1748,142,26,7.17,0.010861361,0.5,1988,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1749,143,100,5.83,0.654749493,0.85,1988,32,8.97,5.8,12.1,20.3,27,21.6,19.2,18.2,17.6,15.6,13.2,10.7,6.6,2.5,0,0,0,0,0,0,0,0,15.93
1750,144,36,4.5,0.770666631,0.85,1988,32,7.99,4.68,23.5,37.5,66.1,43.6,34.1,31.3,28.1,25.3,22.3,7.1,2.2,0,0,0,0,0,0,0,0,0,47.86
1751,145,100,3.17,0.359484332,1.15,1988,32,8.4,4.62,22.9,32.5,60.1,38.7,30.7,28.5,25.6,23.5,20.8,11.1,4.5,0.3,0,0,0,0,0,0,0,0,40.22
1752,146,38,1.5,0.505034423,2.3,1988,32,7.18,3.29,16.3,22,44.6,26.2,20.5,17.5,15.6,12.4,8.5,3.2,0,0,0,0,0,0,0,0,0,0,15.51
1753,1,100,2.83,15.82674169,14.5,1989,33,8.87,4.84,21.3,29.7,53.9,34,29.8,27.5,24.5,22,18.9,14.6,8,2.2,0,0,0,0,0,0,0,0,36.24
1754,2,100,1.5,15.40757304,14.33,1989,33,9.69,5.15,32.1,42.8,75,46.5,42,40.4,38.1,34.4,31.7,26.6,21.1,13.1,2.5,0,0,0,0,0,0,0,84.46
1755,3,100,0.5,14.16899384,13.4,1989,33,11.12,6.89,21.9,31.4,51.7,34.8,31.5,30.1,28.7,27,25.2,23.8,20.5,17.1,11.1,4.5,0,0,0,0,0,0,53.25
1756,4,32,1.5,14.34538781,13.45,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1757,5,32,2.5,15.05686758,14,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1758,6,100,3.83,15.73958595,14.3,1989,33,9.51,5.47,23.7,33.9,72.5,38.6,33.5,31,28.6,26,23.5,20.1,14.4,7.5,0.9,0,0,0,0,0,0,0,52.16
1759,7,100,4.5,15.14610581,13.7,1989,33,9.15,4.91,20.8,28.9,48.2,32.3,27.8,25.8,24.2,21.4,18,14,7.9,3,0,0,0,0,0,0,0,0,32.61
1760,8,100,5.83,15.56527447,13.85,1989,33,9.76,5.75,21.4,30.2,50.2,33.8,29.4,28.7,25.7,23.7,22,19.4,15.1,9.3,2.5,0,0,0,0,0,0,0,41.46
1761,9,100,7.83,15.39096298,13.6,1989,33,12.28,6.3,29.7,40,62.8,43.2,40.3,39.6,38.4,36.9,32.9,29.7,26.1,21.1,15.5,9.7,4.3,0,0,0,0,0,89.71
1762,10,40,9.17,15.537724,13.3,1989,33,6.76,4.43,9.6,19.7,27.3,20.5,18.1,16.2,13,9.8,5.3,2.2,0,0,0,0,0,0,0,0,0,0,10.12
1763,11,100,10.83,15.12949575,12.25,1989,33,8.75,4.19,18.9,26.6,45,29.1,25.1,22.5,20.8,18.3,15.1,12.3,7.4,2.6,0,0,0,0,0,0,0,0,25.44
1764,12,32,11.5,15.0711014,12.1,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1765,13,100,11.5,13.7373801,10.9,1989,33,12.2,7.4,21.4,33.2,57.3,35.7,33.1,31.2,29.7,27.5,26,23.2,21.4,19.3,14.4,8.7,4.3,0,0,0,0,0,58.66
1766,14,28,10.5,13.82453585,11.3,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1767,15,35,9.5,14.44677738,12.15,1989,33,6.96,4.77,10.5,20.5,25.8,20.9,20.4,18.2,15.5,12.4,8,3.1,0,0,0,0,0,0,0,0,0,0,12.7
1768,16,26,9.17,14.47553877,12.25,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1769,17,100,6.83,14.14439742,12.45,1989,33,10.33,6.41,19.2,30,46.2,32,29.7,27.9,25.8,23.8,21.3,19.1,15.3,10.1,4.5,0.3,0,0,0,0,0,0,40.21
1770,18,100,4.5,14.3474703,13,1989,33,7.11,3.99,12.4,19.8,30.2,20.5,18.8,16.5,13.9,11.6,7.6,4.1,0,0,0,0,0,0,0,0,0,0,11.41
1771,19,27,3.5,13.63599053,12.5,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1772,20,100,2.5,13.45959656,12.5,1989,33,9.34,5.58,20.4,32.3,42.2,33.4,30.6,28.6,26.3,23.6,20.6,18,13.2,6.7,0.6,0,0,0,0,0,0,0,39.49
1773,21,100,1.5,13.5467523,12.7,1989,33,10.76,6.09,22.5,32.6,56.8,35.8,32.1,30.7,28.5,26.3,24.4,21.4,18.2,14.1,7.5,1.6,0,0,0,0,0,0,51.21
1774,22,100,0.17,13.39911972,12.85,1989,33,11.32,6.3,26,37.8,60,42.3,37.2,35.1,33,30.6,28.1,25.9,23.1,19.8,13.4,7,0.5,0,0,0,0,0,71.29
1775,23,34,0.17,12.32894814,12.05,1989,33,9.7,6.38,23.6,38.2,61.3,45.1,37.3,35,32.7,30.4,27.7,23.6,18.7,12.9,2.8,0,0,0,0,0,0,0,66.37
1776,24,100,1.5,12.213031,11.6,1989,33,11.15,6.37,22.5,32.4,57.2,35.9,32.4,30.9,29.4,27.9,25.4,22.6,19.3,15,9.5,3.4,0,0,0,0,0,0,54.34
1777,25,100,2.5,12.66096105,11.7,1989,33,9.32,6.74,20.2,33.8,46.1,36.3,33,30.9,28.7,26.2,23.8,21.2,17.3,10.5,0.3,0,0,0,0,0,0,0,48.98
1778,26,38,3.83,12.80859363,11.66,1989,33,8.76,6.9,10.3,22.6,32.7,23.6,21.6,19.8,18,16.1,13.9,11.4,8.5,2.5,0,0,0,0,0,0,0,0,18.81
1779,27,100,4.5,12.48664956,11.25,1989,33,9.8,6.62,13.3,22.5,35.5,24.9,22.5,20.4,19.1,17.4,15.7,14.3,11.8,7.6,1.9,0,0,0,0,0,0,0,22.54
1780,28,100,4.83,13.5200734,12.15,1989,33,10.18,6.08,19.7,27.7,43.1,29.8,27,26.4,24.4,23.2,20.8,18.6,16.3,10.5,4,0,0,0,0,0,0,0,36.47
1781,29,21,NA,NA,NA,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1782,30,100,7.17,13.58766503,11.85,1989,33,11.33,6.12,24.4,34,49.8,36.3,34,32.3,30.8,28.4,27,23.9,20.9,14.9,10.1,4.3,0.6,0,0,0,0,0,57.79
1783,31,100,9.17,13.41335355,11.25,1989,33,11.91,6.86,25,34.4,49,38,34.3,33.1,31.7,30,27.7,25.6,23.2,18.7,13.4,7.4,2.5,0,0,0,0,0,63.86
1784,32,100,11.5,13.21028067,10.5,1989,33,10.95,6.88,17.1,29.5,41.8,30,29.5,27.6,26.1,23.1,21.3,18.7,15.8,13,9.3,4.1,0,0,0,0,0,0,39.9
1785,33,100,9.5,12.84950636,10.7,1989,33,12.89,6.61,28.1,38.4,56.5,42.2,38.5,36,34.6,32.2,30.7,27.8,25.7,22.7,17.9,15,8,2.8,0,0,0,0,80.81
1786,34,21,NA,NA,NA,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1787,35,36,7.83,12.19642094,10.5,1989,33,8.93,5.14,14.1,22.3,31,23.7,22.6,19.9,18.3,15.9,13.5,10.5,7.8,2.5,0,0,0,0,0,0,0,0,18.79
1788,36,100,5.83,12.90581822,11.5,1989,33,10.75,6.53,21.2,31.2,43.4,33.7,31.1,30.4,28.4,26.6,24.2,21.5,18.4,13.9,8.2,1.9,0,0,0,0,0,0,48.35
1789,37,100,5.83,11.83564663,10.5,1989,33,9.53,6.63,12,23.7,31.5,25,22,20.4,18.2,16.2,14.1,12.3,10.4,6.3,0.6,0,0,0,0,0,0,0,20.27
1790,38,100,6.5,11.77725229,10.3,1989,33,11.39,6.89,24.9,37.3,52.5,41.2,36.9,35.7,34.2,31.5,29.1,26.4,22.8,19.4,13.1,4.3,0.6,0,0,0,0,0,71.18
1791,39,100,5.17,11.62961971,10.3,1989,33,10.57,7.1,17.4,29.5,39.5,31.9,29,27.8,26.2,24.1,21.7,19.6,16.1,11,5.4,1.1,0,0,0,0,0,0,40.12
1792,40,100,4.17,11.98032517,10.8,1989,33,10.48,7.37,13.4,25.4,33.7,27.1,25.1,23.2,21.5,19.3,18.1,16,13.4,10.3,5,0.6,0,0,0,0,0,0,28.21
1793,41,100,3.83,11.7464084,10.66,1989,33,10.95,5.48,25.4,32.2,49.8,36.5,32,31,28.9,27,25.3,23.5,19.6,14.4,8,2.6,0,0,0,0,0,0,52.84
1794,42,100,2.83,11.29847835,10.33,1989,33,9.23,4.89,23.7,29.8,42.2,32.4,28.9,28,26.5,24.7,22.5,19.7,14.2,7.3,0,0,0,0,0,0,0,0,39.95
1795,43,100,2.17,11.62753722,10.8,1989,33,9.94,6.12,21.8,30.9,50,33.6,30.4,28.6,27,24.8,22.7,19.6,15.6,8.2,2.5,0,0,0,0,0,0,0,43.05
1796,44,100,1.83,11.12208438,10.45,1989,33,8.55,4.91,14.8,22.9,33.4,24.4,22.1,19.7,17.5,15.2,12.8,8.8,6.3,1.3,0,0,0,0,0,0,0,0,17.91
1797,45,32,0.5,11.23800151,11.2,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1798,46,100,1.17,9.845885865,9.8,1989,33,8.58,4.42,15.8,22.7,32.8,24.6,22.1,19.8,18,15.7,13.1,10,6.2,0.9,0,0,0,0,0,0,0,0,18.43
1799,47,100,0.5,9.105644702,9.6,1989,33,9.45,5.21,15.2,22.9,35.8,25.5,22.7,21,18.9,16.8,14.9,12.7,9.4,5.5,0.6,0,0,0,0,0,0,0,21.59
1800,48,100,2.5,9.729968727,9.1,1989,33,11.22,6.05,23.9,32.9,47.9,36.2,32.1,30.8,29.5,27.3,25.6,22.7,19.7,15,9.3,3.5,0,0,0,0,0,0,53.08
1801,49,100,2.83,9.174107895,8.55,1989,33,10.02,5.1,26.4,36.7,59.6,40.5,35.6,33.6,32.2,29.7,25.2,19.9,15,8,3,0,0,0,0,0,0,0,57.62
1802,50,33,3.5,10.44144849,9.5,1989,33,7.71,0,0,21,29.8,23.7,20.2,17.7,15.6,12.2,8.7,5.1,1.6,0,0,0,0,0,0,0,0,0,NA
1803,51,100,4.17,11.18168966,10.1,1989,33,10.89,5.38,24.5,32.1,43.1,34.7,31.9,30.8,29.3,26.8,24.2,19.4,16.1,11.6,7.1,2.2,0,0,0,0,0,0,47.86
1804,52,100,4.5,10.09074303,9.1,1989,33,10.15,6.32,16.3,24.8,39.7,27,24.4,22.9,21.9,19.9,18.1,16.3,11.5,8.5,3.4,0,0,0,0,0,0,0,27.95
1805,53,36,4.83,10.86061715,9.75,1989,33,8.82,4.73,14.1,20.9,26,22.5,20.7,18.8,16.7,14.5,12.2,10.2,7.2,1.7,0,0,0,0,0,0,0,0,15.98
1806,54,100,6.17,10.74382845,9.45,1989,33,11.04,6.24,19.2,26,42.1,28.1,25.5,24.6,23,20.9,19.2,17.1,14.8,12.4,7.5,2.5,0,0,0,0,0,0,32.59
1807,55,27,7.83,10.86269964,9.3,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1808,56,33,8.83,11.84571548,10.05,1989,33,8.06,0,0,24.2,36.4,26.1,23.4,21.1,18.6,15.3,11.5,7.3,3.8,0,0,0,0,0,0,0,0,0,NA
1809,57,100,10.83,12.73358922,10.25,1989,33,12.37,5.9,27.1,36.5,53.7,42.6,36.2,34.6,32.6,30.8,28.6,25.8,22.8,19.8,15.4,10.7,5,0.6,0,0,0,0,70.85
1810,58,29,11.83,11.58424825,9.25,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1811,59,100,11.17,10.57159946,8.33,1989,33,11.53,7.45,19.5,29.5,42.5,32.4,28.8,29.9,26.8,24.5,22.9,21.2,18.8,16.6,12.7,6.8,0.9,0,0,0,0,0,46.2
1812,60,21,9.83,10.95992423,9.1,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1813,61,100,8.83,11.04707997,9.3,1989,33,11.82,7.16,22.5,32.1,54.8,35.3,31.9,31.4,30.4,28.6,26.4,24.1,21,18.1,13.5,6.9,1.9,0,0,0,0,0,57.97
1814,62,100,8.83,9.976908385,8.45,1989,33,12.5,5.97,24.4,31.2,55.8,35.6,31.1,30.7,29,27.3,25.2,23.2,20.7,17,14,10.3,6.1,0.6,0,0,0,0,55.84
1815,63,27,7.83,10.3356002,8.85,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1816,64,100,6.5,9.916431548,8.7,1989,33,11.81,6.21,24.6,32.9,51.5,35.3,32.8,31.5,29.4,28.4,26.3,24.2,21.2,18.4,13.3,6.5,1.3,0,0,0,0,0,57.55
1817,65,27,5.83,9.439740104,8.4,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1818,66,100,4.83,9.263346128,8.33,1989,33,10.91,6.48,16.8,24.7,35.9,26.3,23.4,22.4,21.2,20,18.1,16.8,14.1,11.1,7.4,1.9,0,0,0,0,0,0,28.1
1819,67,31,4.17,8.522233408,7.75,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1820,68,36,3.83,8.016780569,7.25,1989,33,8.9,6.15,12.4,22.5,31.3,24.5,21.9,20.1,17.9,15.8,15.1,12.1,8.3,2.5,0,0,0,0,0,0,0,0,19.4
1821,69,100,2.83,7.576836875,7.2,1989,33,10.93,5.7,24.7,32.4,60.5,38.7,31.8,29.6,29.1,27.7,25.5,22.4,19.4,13.9,9.6,2.2,0,0,0,0,0,0,54.44
1822,70,100,1.83,7.927542336,8,1989,33,9.39,5.14,21.4,30.2,56.1,33.8,29,27,25.6,22.8,20.4,16.3,12.5,4.7,0.5,0,0,0,0,0,0,0,38.36
1823,71,100,0.5,6.446188454,7.8,1989,33,12.39,4.88,39.1,46.7,70.5,53.3,46.3,45.2,42,40.1,37.1,33.8,28.8,24.3,18,10.9,5.5,0.3,0,0,0,0,115.89
1824,72,100,1.5,6.62258243,7.3,1989,33,6.81,3.32,16.1,24.1,37,25.2,22.5,19.5,16.1,9.6,6.5,1.3,0,0,0,0,0,0,0,0,0,0,15.11
1825,73,35,2.5,7.070512479,7,1989,33,6.23,4.41,8.4,18.3,28.2,24.3,15.2,12.3,10.3,8.4,3.5,0,0,0,0,0,0,0,0,0,0,0,8.53
1826,74,31,4.5,7.694836503,6.85,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1827,75,100,4.83,8.464710618,7.6,1989,33,10.23,6.04,16.4,26.6,33.4,28.7,26.7,24.8,22.2,20,17.5,15.1,12.5,9.8,4.1,0,0,0,0,0,0,0,29.63
1828,76,100,5.83,8.912640667,7.9,1989,33,12.55,7.1,23.1,34.8,50,37.7,34.8,32.6,31.1,29.7,27.6,25.5,22,20.2,15.8,10.1,5.7,0.9,0,0,0,0,64.54
1829,77,100,6.83,9.089034643,7.9,1989,33,9.34,6.44,11.1,21.2,29.9,22.6,20.7,18.1,16.4,14.9,12.6,11,8.4,4.2,0.3,0,0,0,0,0,0,0,16.56
1830,78,100,7.5,9.030640295,7.8,1989,33,9.7,5.62,13.3,21.9,33.1,25.2,21.4,19.2,17.5,15.7,13.7,11.7,10.2,6.8,1.6,0,0,0,0,0,0,0,19.36
1831,79,100,9.83,9.889752643,8.15,1989,33,11.92,6.22,18.2,25.4,44.8,29.5,25.5,23.8,22.2,20.7,19.5,17.7,16.3,13.9,10.9,6.9,2.2,0,0,0,0,0,34.43
1832,80,100,12.17,9.422258486,7.25,1989,33,13.26,6.78,23,32.3,51.8,39.2,32.9,30.9,29.3,27.8,25.4,23.4,21.8,18.7,16.1,12.7,8.8,4.6,0,0,0,0,60.5
1833,81,28,11.83,8.389706211,6.4,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1834,82,100,10.83,8.740411672,6.9,1989,33,13.78,5.98,33.5,40.3,67,44.2,40.4,39.9,38.1,37,34.7,32.4,29.7,26.7,23.2,18.5,12.6,6.2,1.6,0,0,0,102.78
1835,83,100,9.83,8.564017696,7,1989,33,12.75,5.92,29.5,38.5,51.5,44.3,38.4,36.7,34.9,32.9,30.4,27.9,25.2,20,18,11,6.1,1.6,0,0,0,0,79.71
1836,84,100,7.83,8.20324339,7.1,1989,33,12.33,5.39,30.7,38.9,57.5,41.6,39,37.7,35.1,32.6,30.3,28.2,24.8,20.9,15.2,11,5,0.3,0,0,0,0,79.58
1837,85,37,6.5,8.055610809,7.1,1989,33,7.8,5.27,11.5,18.7,27.4,20,18,16.6,15,13.1,9.8,4.9,1.6,0,0,0,0,0,0,0,0,0,11.86
1838,86,100,6.5,7.520525018,6.66,1989,33,12.64,7.86,18.5,28.2,46.5,30.4,28.1,27.2,26.1,24.6,23.3,21.8,19.8,17.2,14.2,9.9,4.9,0.6,0,0,0,0,45.92
1839,87,100,5.83,6.780283855,5.85,1989,33,11.95,7.9,17,26.7,39.9,27.5,26.2,25.8,25,23.2,21.7,19.8,18,15.2,12.2,8.3,2.2,0,0,0,0,0,38.87
1840,88,100,4.83,6.867439598,6.15,1989,33,12.85,6.9,31,40.6,73.6,45.3,40.6,40,38.6,36.3,33.9,32.1,29.8,26,20.7,13.8,7.5,1.3,0,0,0,0,100.45
1841,89,100,0.17,5.412764621,7,1989,33,10.42,4.7,26.9,35.7,55,41.1,35.5,32.8,30,27.6,24.4,19.6,16.6,9.7,4.4,0.6,0,0,0,0,0,0,55.05
1842,90,100,0.5,4.313831642,6,1989,33,11.62,4,35.7,42.7,54.2,43.6,41.4,39.5,37.8,34.9,32.2,26.6,23,17.6,11.7,6.1,0.6,0,0,0,0,0,82.4
1843,91,40,1.5,5.025311409,6.2,1989,33,7.94,5.9,10.5,19.7,30.7,22.7,18.8,16.9,14,12.2,9.7,7.3,2.5,0,0,0,0,0,0,0,0,0,12.83
1844,92,100,1.83,3.934364786,5.2,1989,33,10.34,4.58,30.4,39,65.3,41.6,38.3,36.1,33.5,30.7,27.4,23.3,18.4,12.3,5.6,0.5,0,0,0,0,0,0,66.96
1845,93,39,2.83,4.909394272,5.2,1989,33,6.67,3.34,11.3,18.8,27.2,22.1,17,13.7,11.2,9.6,6.7,1.6,0,0,0,0,0,0,0,0,0,0,9.3
1846,94,100,4.83,5.00661886,4.4,1989,33,11.7,5.9,29.4,37.7,57.7,42,37.7,36.3,34.6,32.7,30,27.6,24.3,20.4,14.6,9.7,4.4,0,0,0,0,0,76.71
1847,95,100,5.83,5.446562553,4.75,1989,33,11.61,7.93,14.5,23.7,34.7,26.6,23,22.4,21.1,19.9,18.7,16.8,15.1,13,10,5.9,0.6,0,0,0,0,0,29.26
1848,96,100,6.5,6.458339789,5.6,1989,33,10.76,7.42,13.8,25.9,38.7,28.5,25.6,24,22.5,21.2,18.5,16.2,13.7,11.1,7.3,1.3,0,0,0,0,0,0,31.11
1849,97,34,7.5,6.634733765,5.75,1989,33,8.16,5.96,9.6,20.3,30.3,20.9,18.6,16.6,15,12.8,10.4,7,2.5,0,0,0,0,0,0,0,0,0,12.69
1850,98,34,7.83,7.40460788,6.4,1989,33,7.35,5.22,15.1,26.8,35.6,28.9,25.4,23.5,21.1,18.4,14.3,4.4,0.6,0,0,0,0,0,0,0,0,0,23.38
1851,99,29,8.83,6.782366345,5.7,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1852,100,30,9.83,7.493846113,6.1,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1853,101,100,11.5,6.821196586,5.25,1989,33,14.38,6.68,39.7,52.4,97,64.5,52.6,50.7,48.9,46.1,44,40.5,37,34.1,28.2,23.4,17.8,12.2,5.5,0.3,0,0,174.4
1854,102,100,9.83,6.695210603,5.4,1989,33,9.5,5.54,16.1,23.9,40,29.1,23.9,22.5,20.3,18.6,15.9,13.4,10.8,5.3,0.9,0,0,0,0,0,0,0,25.49
1855,103,100,10.83,3.41351282,2.8,1989,33,11.4,7.2,19.4,30.7,40.3,33.2,30.7,28.7,27.1,25.7,23.8,20.8,18.8,15.2,11.8,6.1,0.6,0,0,0,0,0,46.8
1856,104,33,9.83,5.633025374,4.6,1989,33,8.64,0,0,26.2,44,32,24.9,23.3,19.8,17.3,13.7,10.9,6.9,1.3,0,0,0,0,0,0,0,0,NA
1857,105,28,8.5,5.748942512,4.8,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1858,106,100,7.5,5.572548536,4.7,1989,33,12.78,7.82,22,32.3,48.2,36.4,32.3,31.5,30.2,28.6,27.7,25.5,22.7,20.3,17,12,7,2.2,0,0,0,0,62.11
1859,107,100,6.5,4.861068769,4.25,1989,33,12.48,8.43,17.9,29.4,42.8,32.7,29.7,28.7,27.5,26.2,24.5,22.2,20.1,18,14.3,10.5,5.5,0.6,0,0,0,0,50.01
1860,108,100,7.5,4.773913026,4.2,1989,33,13.82,8.89,20.1,32.6,48.1,35.9,32.8,31.8,31,29.6,28.2,26.5,23.8,21.2,19,15.8,10.8,6.5,1.9,0,0,0,66.8
1861,109,100,9.17,5.155462373,4.33,1989,33,10.8,7.53,13.1,21.5,27.9,23.3,21.9,21.3,20.2,18.9,16.8,15.1,13.3,11.4,7.5,2.5,0,0,0,0,0,0,24.24
1862,110,100,10.83,4.483684403,3.66,1989,33,12.28,8.15,20.4,32.6,52.4,34.8,33.3,31.2,29.6,27.9,26.4,24.2,21.9,19.5,16.4,12.1,4.9,0,0,0,0,0,59.79
1863,111,33,11.83,3.861442869,3.1,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1864,112,30,9.83,4.035754354,3.5,1989,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1865,113,100,8.83,3.859360378,3.4,1989,33,14.19,6.55,32.9,40.9,77.8,50.1,41.3,41,39.8,38.4,36.1,33,30.8,28.7,24.3,19.6,14.1,10.3,4,0,0,0,114.92
